query_id	subject_id	perc_identity	num_ident_matches	alig_length	mismatches	gap_openings	n_gaps	pos_match	ppos	q_start	q_end	q_len	qcov	qcovhsp	s_start	s_end	s_len	evalue	bit_score	score_raw
Cast2/4_inter	LG3_RagTag	95.789	1069	1116	42	4	5	1069	95.79	1	1113	1113	100	100	1841588	1840475	41924858	0	1788	1982
Cast2/4_inter	LG3_RagTag	95.609	1067	1116	43	5	6	1067	95.61	1	1113	1113	100	100	4779636	4778524	41924858	0	1775	1968
Cast2/4_inter	LG3_RagTag	95.528	1068	1118	42	6	8	1068	95.53	1	1113	1113	100	100	1847922	1846808	41924858	0	1772	1964
Cast2/4_inter	LG3_RagTag	95.345	1065	1117	46	4	6	1065	95.34	1	1113	1113	100	100	15512	14398	41924858	0	1768	1960
Cast2/4_inter	LG3_RagTag	95.52	1066	1116	43	6	7	1066	95.52	1	1113	1113	100	100	4771478	4770367	41924858	0	1767	1959
Cast2/4_inter	LG3_RagTag	95.349	1066	1118	45	5	7	1066	95.35	1	1113	1113	100	100	5316	4201	41924858	0	1766	1958
Cast2/4_inter	LG3_RagTag	95.524	1067	1117	41	7	9	1067	95.52	1	1113	1113	100	100	4772750	4771639	41924858	0	1766	1958
Cast2/4_inter	LG3_RagTag	95.345	1065	1117	45	5	7	1065	95.34	1	1113	1113	100	100	7863	6750	41924858	0	1764	1956
Cast2/4_inter	LG3_RagTag	95.357	1068	1120	42	7	10	1068	95.36	1	1113	1113	100	100	1846657	1845541	41924858	0	1764	1955
Cast2/4_inter	LG3_RagTag	95.345	1065	1117	46	5	6	1065	95.34	1	1113	1113	100	100	4777087	4775973	41924858	0	1764	1955
Cast2/4_inter	LG3_RagTag	95.349	1066	1118	44	6	8	1066	95.35	1	1113	1113	100	100	1850452	1849338	41924858	0	1763	1954
Cast2/4_inter	LG3_RagTag	95.341	1064	1116	46	5	6	1064	95.34	1	1113	1113	100	100	4770206	4769094	41924858	0	1762	1953
Cast2/4_inter	LG3_RagTag	95.259	1065	1118	46	5	7	1065	95.26	1	1113	1113	100	100	4775812	4774697	41924858	0	1762	1953
Cast2/4_inter	LG3_RagTag	95.345	1065	1117	44	6	8	1065	95.34	1	1113	1113	100	100	1491	379	41924858	0	1761	1952
